rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
7,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
7,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
7,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
7,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
7,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
7,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
7,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
7,6,2,Escherichia coli,E0g0,2.106744936382747e-09,402.74859676309563,402.74859676520236,1.0,5
7,7,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
7,7,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
7,8,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
7,8,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
7,9,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
7,9,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
8,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
8,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
8,0,2,Escherichia coli,E0g0,-1.7633764476318828e-10,400.06795803180484,400.0679580316285,1.0,5
8,1,1,Escherichia coli,E0g0,2.6956366890947967,2.7648659066543853,5.4605025957491815,1.0,5
8,1,2,Escherichia coli,E0g0,2.023762091687304e-09,402.73021102956653,402.7302110315903,1.0,5
8,2,1,Escherichia coli,E0g0,2.713574808670954,2.7834470421465847,5.497021850817539,1.0,5
8,2,2,Escherichia coli,E0g0,2.104099381049267e-09,402.74847065520913,402.74847065731325,1.0,5
8,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
8,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
8,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
8,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
8,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
8,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
8,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
8,6,2,Escherichia coli,E0g0,2.106744936382747e-09,402.74859676309563,402.74859676520236,1.0,5
8,7,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
8,7,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
8,8,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
8,8,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
8,9,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
8,9,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
9,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
9,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
9,0,2,Escherichia coli,E0g0,-1.7633764476318828e-10,400.06795803180484,400.0679580316285,1.0,5
9,1,1,Escherichia coli,E0g0,2.6956366890947967,2.7648659066543853,5.4605025957491815,1.0,5
9,1,2,Escherichia coli,E0g0,2.023762091687304e-09,402.73021102956653,402.7302110315903,1.0,5
9,2,1,Escherichia coli,E0g0,2.713574808670954,2.7834470421465847,5.497021850817539,1.0,5
9,2,2,Escherichia coli,E0g0,2.104099381049267e-09,402.74847065520913,402.74847065731325,1.0,5
9,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
9,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
9,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
9,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
9,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
9,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
9,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
9,6,2,Escherichia coli,E0g0,2.106744936382747e-09,402.74859676309563,402.74859676520236,1.0,5
9,7,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
9,7,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
9,8,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
9,8,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
9,9,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
9,9,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
