seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
384,mono,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
384,mono,0,0,2,Escherichia coli,E0c0,4.999811782518592e-06,804.9999675975544,804.9999725973662,1.0,5
384,mono,0,1,1,Escherichia coli,E0c0,2.7120239216450983,2.7818401033737477,5.493864025018846,1.0,5
384,mono,0,1,2,Escherichia coli,E0c0,4.989645820817598e-06,805.4938316765538,805.4938366661996,1.0,5
384,mono,0,2,1,Escherichia coli,E0c0,2.7136874687567656,2.7835638572148045,5.49725132597157,1.0,5
384,mono,0,2,2,Escherichia coli,E0c0,4.998436083088387e-06,805.4972195665871,805.4972245650232,1.0,5
384,mono,0,3,1,Escherichia coli,E0c0,2.7136984351765476,2.7835753563794374,5.497273791555985,1.0,5
384,mono,0,3,2,Escherichia coli,E0c0,4.9954919540776425e-06,805.4972419794578,805.4972469749498,1.0,5
384,mono,0,4,1,Escherichia coli,E0c0,2.7136985648868968,2.783575422359008,5.497273987245904,1.0,5
384,mono,0,4,2,Escherichia coli,E0c0,4.999620599494143e-06,805.4972420073906,805.4972470070112,1.0,5
384,mono,0,5,1,Escherichia coli,E0c0,2.7136989904781887,2.7835757595527184,5.497274750030908,1.0,5
384,mono,0,5,2,Escherichia coli,E0c0,4.987125873285425e-06,805.497242591578,805.4972475787039,1.0,5
384,mono,0,6,1,Escherichia coli,E0c0,2.71369895438886,2.7835757900800346,5.4972747444688945,1.0,5
384,mono,0,6,2,Escherichia coli,E0c0,4.9940508416940665e-06,805.4972433513265,805.4972483453773,1.0,5
384,mono,0,7,1,Escherichia coli,E0c0,2.713699203740742,2.783575822031101,5.4972750257718435,1.0,5
384,mono,0,7,2,Escherichia coli,E0c0,4.997320338880444e-06,805.4972442708123,805.4972492681327,1.0,5
384,mono,0,8,1,Escherichia coli,E0c0,2.7136987910223014,2.783575360873538,5.497274151895839,1.0,5
384,mono,0,8,2,Escherichia coli,E0c0,4.999853254140741e-06,805.4972418814244,805.4972468812776,1.0,5
384,mono,0,9,1,Escherichia coli,E0c0,2.71369877048792,2.7835757050129293,5.497274475500849,1.0,5
384,mono,0,9,2,Escherichia coli,E0c0,4.989805377575535e-06,805.4972455960162,805.4972505858216,1.0,5
384,mono,1,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
384,mono,1,0,2,Escherichia coli,E0c0,4.999811782518592e-06,804.9999675975544,804.9999725973662,1.0,5
384,mono,1,1,1,Escherichia coli,E0c0,2.7120239216450983,2.7818401033737477,5.493864025018846,1.0,5
384,mono,1,1,2,Escherichia coli,E0c0,4.989645820817598e-06,805.4938316765538,805.4938366661996,1.0,5
384,mono,1,2,1,Escherichia coli,E0c0,2.7136874687567656,2.7835638572148045,5.49725132597157,1.0,5
384,mono,1,2,2,Escherichia coli,E0c0,4.998436083088387e-06,805.4972195665871,805.4972245650232,1.0,5
384,mono,1,3,1,Escherichia coli,E0c0,2.7136984351765476,2.7835753563794374,5.497273791555985,1.0,5
384,mono,1,3,2,Escherichia coli,E0c0,4.9954919540776425e-06,805.4972419794578,805.4972469749498,1.0,5
384,mono,1,4,1,Escherichia coli,E0c0,2.7136985648868968,2.783575422359008,5.497273987245904,1.0,5
384,mono,1,4,2,Escherichia coli,E0c0,4.999620599494143e-06,805.4972420073906,805.4972470070112,1.0,5
384,mono,1,5,1,Escherichia coli,E0c0,2.7136989904781887,2.7835757595527184,5.497274750030908,1.0,5
384,mono,1,5,2,Escherichia coli,E0c0,4.987125873285425e-06,805.497242591578,805.4972475787039,1.0,5
384,mono,1,6,1,Escherichia coli,E0c0,2.71369895438886,2.7835757900800346,5.4972747444688945,1.0,5
384,mono,1,6,2,Escherichia coli,E0c0,4.9940508416940665e-06,805.4972433513265,805.4972483453773,1.0,5
384,mono,1,7,1,Escherichia coli,E0c0,2.713699203740742,2.783575822031101,5.4972750257718435,1.0,5
384,mono,1,7,2,Escherichia coli,E0c0,4.997320338880444e-06,805.4972442708123,805.4972492681327,1.0,5
384,mono,1,8,1,Escherichia coli,E0c0,2.7136987910223014,2.783575360873538,5.497274151895839,1.0,5
384,mono,1,8,2,Escherichia coli,E0c0,4.974176840089348e-06,724.020261010972,724.0202659851489,1.0,5
384,mono,1,8,2,Escherichia coli,E1c8,9.228008333011995e-06,81.47707355116711,81.47708277917545,1.8465145851050713,5
384,mono,1,9,1,Escherichia coli,E0c0,2.439204796481769,2.5017069807431,4.940911777224869,1.0,5
384,mono,1,9,1,Escherichia coli,E1c8,2.716571294163181,1.0312005573176928,3.7477718514808736,1.8465145851050713,5
384,mono,1,9,2,Escherichia coli,E0c0,4.993435246740382e-06,526.9010751328957,526.901080126331,1.0,5
384,mono,1,9,2,Escherichia coli,E1c8,9.230036988872338e-06,281.7876605339155,281.7876697639525,1.8465145851050713,5
384,mono,2,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
