##culture:co#seed:2#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
2,co,0,0,5.300000000000001
2,co,0,1,5.300000000000001
2,co,0,2,5.300000000000001
2,co,0,3,5.300000000000001
2,co,0,4,5.300000000000001
2,co,0,5,5.300000000000001
2,co,0,6,5.300000000000001
2,co,0,7,5.300000000000001
2,co,0,8,5.300000000000001
2,co,0,9,5.300000000000001
2,co,1,0,5.300000000000001
2,co,1,1,5.300000000000001
2,co,1,2,5.300000000000001
2,co,1,3,5.300000000000001
2,co,1,4,5.300000000000001
2,co,1,5,5.300000000000001
2,co,1,6,5.300000000000001
2,co,1,7,6.1000000000000005
2,co,1,8,8.1
2,co,1,9,9.1
2,co,2,0,5.300000000000001
2,co,2,1,5.300000000000001
2,co,2,2,5.300000000000001
2,co,2,3,5.300000000000001
2,co,2,4,5.300000000000001
2,co,2,5,5.300000000000001
2,co,2,6,7.4
2,co,2,7,7.9
2,co,2,8,8.0
2,co,2,9,8.1
2,co,3,0,5.300000000000001
2,co,3,1,5.300000000000001
2,co,3,2,5.300000000000001
2,co,3,3,5.300000000000001
2,co,3,4,7.800000000000001
2,co,3,5,8.3
2,co,3,6,10.200000000000001
2,co,3,7,14.5
2,co,3,8,15.0
2,co,3,9,15.3
2,co,4,0,5.6000000000000005
2,co,4,1,6.800000000000001
2,co,4,2,10.700000000000001
2,co,4,3,11.4
2,co,4,4,11.5
2,co,4,5,11.600000000000001
2,co,4,6,11.600000000000001
2,co,4,7,12.100000000000001
2,co,4,8,15.100000000000001
2,co,4,9,15.4
