seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
894,mono,1,9,2,Escherichia coli,E0c0,4.999389718728256e-06,1006.7738056579418,1006.7738106573315,1.0,5
894,mono,2,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
894,mono,2,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
894,mono,2,0,2,Escherichia coli,E0c0,4.468230943872208e-06,1000.0672273668181,1000.067231835049,1.0,5
894,mono,2,1,1,Escherichia coli,E0c0,3.3692009732433887,3.3595369106530892,6.728737883896478,1.0,5
894,mono,2,1,2,Escherichia coli,E0c0,4.999543756261347e-06,1006.7286660364127,1006.7286710359565,1.0,5
894,mono,2,2,1,Escherichia coli,E0c0,3.391642004533041,3.381932606332288,6.773574610865329,1.0,5
894,mono,2,2,2,Escherichia coli,E0c0,4.995782462054285e-06,1006.7735000202897,1006.7735050160721,1.0,5
894,mono,2,3,1,Escherichia coli,E0c0,3.391793391372913,3.3820837800650687,6.773877171437982,1.0,5
894,mono,2,3,2,Escherichia coli,E0c0,4.996063581388437e-06,1006.773802212794,1006.7738072088575,1.0,5
894,mono,2,4,1,Escherichia coli,E0c0,3.391794003829082,3.3820843450405813,6.773878348869664,1.0,5
894,mono,2,4,2,Escherichia coli,E0c0,4.998281808140648e-06,1006.7738047363779,1006.7738097346597,1.0,5
894,mono,2,5,1,Escherichia coli,E0c0,3.3917931020188656,3.382084104872077,6.773877206890942,1.0,5
894,mono,2,5,2,Escherichia coli,E0c0,4.999024518957432e-06,1006.7738033293708,1006.7738083283954,1.0,5
894,mono,2,6,1,Escherichia coli,E0c0,3.3917938049789633,3.38208445757381,6.773878262552773,1.0,5
894,mono,2,6,2,Escherichia coli,E0c0,4.999548782123992e-06,1006.7738068315821,1006.7738118311308,1.0,5
894,mono,2,7,1,Escherichia coli,E0c0,3.3917941275142107,3.382084576705925,6.773878704220136,1.0,5
894,mono,2,7,2,Escherichia coli,E0c0,4.984334419472596e-06,1006.7738050389682,1006.7738100233026,1.0,5
894,mono,2,8,1,Escherichia coli,E0c0,3.3917943819990093,3.382084434514843,6.773878816513852,1.0,5
894,mono,2,8,2,Escherichia coli,E0c0,4.997891763248463e-06,1006.773804021884,1006.7738090197757,1.0,5
894,mono,2,9,1,Escherichia coli,E0c0,3.3917941146398167,3.3820843665150115,6.773878481154828,1.0,5
894,mono,2,9,2,Escherichia coli,E0c0,4.999389718728256e-06,1006.7738056579418,1006.7738106573315,1.0,5
894,mono,3,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
894,mono,3,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
894,mono,3,0,2,Escherichia coli,E0c0,4.468230943872208e-06,1000.0672273668181,1000.067231835049,1.0,5
894,mono,3,1,1,Escherichia coli,E0c0,3.3692009732433887,3.3595369106530892,6.728737883896478,1.0,5
894,mono,3,1,2,Escherichia coli,E0c0,4.999543756261347e-06,1006.7286660364127,1006.7286710359565,1.0,5
894,mono,3,2,1,Escherichia coli,E0c0,3.391642004533041,3.381932606332288,6.773574610865329,1.0,5
894,mono,3,2,2,Escherichia coli,E0c0,4.995782462054285e-06,1006.7735000202897,1006.7735050160721,1.0,5
894,mono,3,3,1,Escherichia coli,E0c0,3.391793391372913,3.3820837800650687,6.773877171437982,1.0,5
894,mono,3,3,2,Escherichia coli,E0c0,4.996063581388437e-06,1006.773802212794,1006.7738072088575,1.0,5
894,mono,3,4,1,Escherichia coli,E0c0,3.391794003829082,3.3820843450405813,6.773878348869664,1.0,5
894,mono,3,4,2,Escherichia coli,E0c0,4.998281808140648e-06,1006.7738047363779,1006.7738097346597,1.0,5
894,mono,3,5,1,Escherichia coli,E0c0,3.3917931020188656,3.382084104872077,6.773877206890942,1.0,5
894,mono,3,5,2,Escherichia coli,E0c0,4.999024518957432e-06,1006.7738033293708,1006.7738083283954,1.0,5
894,mono,3,6,1,Escherichia coli,E0c0,3.3917938049789633,3.38208445757381,6.773878262552773,1.0,5
894,mono,3,6,2,Escherichia coli,E0c0,4.999548782123992e-06,1006.7738068315821,1006.7738118311308,1.0,5
894,mono,3,7,1,Escherichia coli,E0c0,3.3917941275142107,3.382084576705925,6.773878704220136,1.0,5
894,mono,3,7,2,Escherichia coli,E0c0,4.984334419472596e-06,1006.7738050389682,1006.7738100233026,1.0,5
