seed,culture,rep,cycle,tol_time
434,mono,0,0,5.300000000000001
434,mono,0,1,5.300000000000001
434,mono,0,2,5.300000000000001
434,mono,0,3,5.300000000000001
434,mono,0,4,5.300000000000001
434,mono,0,5,5.300000000000001
434,mono,0,6,5.300000000000001
434,mono,0,7,5.300000000000001
434,mono,0,8,5.300000000000001
434,mono,0,9,5.300000000000001
434,mono,0,10,5.300000000000001
434,mono,0,11,5.300000000000001
434,mono,0,12,5.300000000000001
434,mono,0,13,5.300000000000001
434,mono,0,14,5.300000000000001
434,mono,0,15,5.800000000000001
434,mono,0,16,7.0
434,mono,0,17,8.1
434,mono,0,18,8.6
434,mono,0,19,8.8
434,mono,1,0,5.300000000000001
434,mono,1,1,5.300000000000001
434,mono,1,2,5.300000000000001
434,mono,1,3,5.300000000000001
434,mono,1,4,5.300000000000001
434,mono,1,5,5.300000000000001
434,mono,1,6,5.300000000000001
434,mono,1,7,5.9
434,mono,1,8,7.2
434,mono,1,9,8.6
434,mono,1,10,9.1
434,mono,1,11,9.3
434,mono,1,12,9.3
434,mono,1,13,9.3
434,mono,1,14,9.3
434,mono,1,15,9.3
434,mono,1,16,9.3
434,mono,1,17,9.3
434,mono,1,18,9.3
434,mono,1,19,9.3
434,mono,2,0,5.300000000000001
434,mono,2,1,5.300000000000001
434,mono,2,2,5.300000000000001
434,mono,2,3,5.300000000000001
434,mono,2,4,5.7
434,mono,2,5,6.5
434,mono,2,6,7.4
434,mono,2,7,8.0
434,mono,2,8,8.200000000000001
434,mono,2,9,8.200000000000001
434,mono,2,10,8.200000000000001
434,mono,2,11,8.200000000000001
434,mono,2,12,8.200000000000001
434,mono,2,13,8.200000000000001
434,mono,2,14,8.200000000000001
434,mono,2,15,8.200000000000001
434,mono,2,16,8.3
434,mono,2,17,8.4
434,mono,2,18,8.6
434,mono,2,19,9.0
434,mono,3,0,5.300000000000001
434,mono,3,1,5.300000000000001
434,mono,3,2,5.300000000000001
434,mono,3,3,5.300000000000001
434,mono,3,4,5.300000000000001
434,mono,3,5,5.800000000000001
434,mono,3,6,6.9
434,mono,3,7,8.0
434,mono,3,8,8.6
434,mono,3,9,8.700000000000001
434,mono,3,10,8.8
434,mono,3,11,8.8
434,mono,3,12,8.8
434,mono,3,13,8.8
434,mono,3,14,8.8
434,mono,3,15,8.8
434,mono,3,16,8.8
434,mono,3,17,8.8
434,mono,3,18,8.8
434,mono,3,19,8.8
434,mono,4,0,5.300000000000001
434,mono,4,1,5.300000000000001
434,mono,4,2,5.300000000000001
434,mono,4,3,5.300000000000001
434,mono,4,4,5.300000000000001
434,mono,4,5,5.300000000000001
434,mono,4,6,5.300000000000001
434,mono,4,7,5.300000000000001
434,mono,4,8,5.300000000000001
434,mono,4,9,5.300000000000001
434,mono,4,10,5.300000000000001
434,mono,4,11,5.300000000000001
434,mono,4,12,5.300000000000001
434,mono,4,13,5.300000000000001
434,mono,4,14,5.300000000000001
434,mono,4,15,5.300000000000001
434,mono,4,16,5.300000000000001
434,mono,4,17,5.300000000000001
434,mono,4,18,5.300000000000001
434,mono,4,19,5.300000000000001
434,mono,5,0,5.300000000000001
434,mono,5,1,5.300000000000001
434,mono,5,2,5.300000000000001
434,mono,5,3,5.300000000000001
434,mono,5,4,5.300000000000001
434,mono,5,5,5.300000000000001
434,mono,5,6,5.300000000000001
434,mono,5,7,5.300000000000001
434,mono,5,8,5.300000000000001
434,mono,5,9,5.300000000000001
434,mono,5,10,5.300000000000001
434,mono,5,11,5.300000000000001
434,mono,5,12,5.300000000000001
434,mono,5,13,5.300000000000001
434,mono,5,14,5.300000000000001
434,mono,5,15,5.300000000000001
434,mono,5,16,5.300000000000001
434,mono,5,17,5.300000000000001
434,mono,5,18,5.300000000000001
434,mono,5,19,5.300000000000001
434,mono,6,0,5.300000000000001
434,mono,6,1,5.300000000000001
434,mono,6,2,5.300000000000001
434,mono,6,3,5.300000000000001
434,mono,6,4,5.300000000000001
434,mono,6,5,5.300000000000001
434,mono,6,6,5.300000000000001
434,mono,6,7,5.300000000000001
434,mono,6,8,5.300000000000001
434,mono,6,9,5.300000000000001
434,mono,6,10,5.300000000000001
434,mono,6,11,5.300000000000001
434,mono,6,12,5.300000000000001
434,mono,6,13,5.300000000000001
434,mono,6,14,5.300000000000001
434,mono,6,15,5.300000000000001
434,mono,6,16,5.300000000000001
434,mono,6,17,5.300000000000001
434,mono,6,18,5.300000000000001
434,mono,6,19,5.300000000000001
434,mono,7,0,5.300000000000001
434,mono,7,1,5.300000000000001
434,mono,7,2,5.300000000000001
434,mono,7,3,5.300000000000001
434,mono,7,4,5.300000000000001
434,mono,7,5,5.300000000000001
434,mono,7,6,5.300000000000001
434,mono,7,7,5.300000000000001
434,mono,7,8,5.300000000000001
434,mono,7,9,5.300000000000001
434,mono,7,10,5.300000000000001
434,mono,7,11,5.300000000000001
434,mono,7,12,5.300000000000001
434,mono,7,13,5.300000000000001
434,mono,7,14,5.300000000000001
434,mono,7,15,5.300000000000001
434,mono,7,16,5.300000000000001
434,mono,7,17,5.300000000000001
434,mono,7,18,5.300000000000001
434,mono,7,19,5.300000000000001
434,mono,8,0,5.300000000000001
434,mono,8,1,5.300000000000001
434,mono,8,2,5.300000000000001
434,mono,8,3,5.300000000000001
434,mono,8,4,5.300000000000001
434,mono,8,5,5.300000000000001
434,mono,8,6,5.300000000000001
434,mono,8,7,5.300000000000001
434,mono,8,8,5.300000000000001
434,mono,8,9,5.300000000000001
434,mono,8,10,5.300000000000001
434,mono,8,11,5.300000000000001
434,mono,8,12,5.300000000000001
434,mono,8,13,5.300000000000001
434,mono,8,14,5.300000000000001
434,mono,8,15,5.300000000000001
434,mono,8,16,5.300000000000001
434,mono,8,17,5.300000000000001
434,mono,8,18,5.300000000000001
434,mono,8,19,5.300000000000001
434,mono,9,0,5.300000000000001
434,mono,9,1,5.300000000000001
434,mono,9,2,5.300000000000001
434,mono,9,3,5.300000000000001
434,mono,9,4,5.300000000000001
434,mono,9,5,5.300000000000001
434,mono,9,6,5.300000000000001
434,mono,9,7,5.300000000000001
434,mono,9,8,5.300000000000001
434,mono,9,9,5.300000000000001
434,mono,9,10,5.300000000000001
434,mono,9,11,5.300000000000001
434,mono,9,12,5.300000000000001
434,mono,9,13,5.300000000000001
434,mono,9,14,5.300000000000001
434,mono,9,15,5.300000000000001
434,mono,9,16,5.300000000000001
434,mono,9,17,5.300000000000001
434,mono,9,18,5.300000000000001
434,mono,9,19,5.300000000000001
