##culture:co#seed:8#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
8,co,0,0,5.300000000000001
8,co,0,1,5.300000000000001
8,co,0,2,5.300000000000001
8,co,0,3,5.300000000000001
8,co,0,4,7.9
8,co,0,5,8.700000000000001
8,co,0,6,9.0
8,co,0,7,9.0
8,co,0,8,9.0
8,co,0,9,10.4
8,co,1,0,5.300000000000001
8,co,1,1,5.300000000000001
8,co,1,2,5.300000000000001
8,co,1,3,6.4
8,co,1,4,7.6000000000000005
8,co,1,5,8.0
8,co,1,6,9.4
8,co,1,7,10.0
8,co,1,8,10.4
8,co,1,9,10.700000000000001
8,co,2,0,7.1000000000000005
8,co,2,1,9.9
8,co,2,2,14.0
8,co,2,3,14.8
8,co,2,4,16.5
8,co,2,5,17.5
8,co,2,6,17.7
8,co,2,7,17.8
8,co,2,8,17.900000000000002
8,co,2,9,18.0
8,co,3,0,5.300000000000001
8,co,3,1,5.300000000000001
8,co,3,2,5.300000000000001
8,co,3,3,6.9
8,co,3,4,8.0
8,co,3,5,8.200000000000001
8,co,3,6,9.4
8,co,3,7,9.600000000000001
8,co,3,8,9.700000000000001
8,co,3,9,9.8
8,co,4,0,5.300000000000001
8,co,4,1,8.700000000000001
8,co,4,2,9.700000000000001
8,co,4,3,12.200000000000001
8,co,4,4,13.100000000000001
8,co,4,5,13.3
8,co,4,6,14.200000000000001
8,co,4,7,14.3
8,co,4,8,14.4
8,co,4,9,14.4
8,co,5,0,8.9
8,co,5,1,10.4
8,co,5,2,10.5
8,co,5,3,10.600000000000001
8,co,5,4,10.600000000000001
8,co,5,5,10.600000000000001
8,co,5,6,10.600000000000001
8,co,5,7,13.0
8,co,5,8,13.3
8,co,5,9,13.5
8,co,6,0,5.300000000000001
8,co,6,1,6.5
8,co,6,2,6.9
8,co,6,3,7.9
8,co,6,4,8.200000000000001
8,co,6,5,9.1
8,co,6,6,10.4
8,co,6,7,11.200000000000001
8,co,6,8,11.8
8,co,6,9,12.4
8,co,7,0,8.5
8,co,7,1,9.3
8,co,7,2,10.100000000000001
8,co,7,3,10.200000000000001
8,co,7,4,10.8
8,co,7,5,11.0
8,co,7,6,11.100000000000001
8,co,7,7,12.8
8,co,7,8,13.100000000000001
8,co,7,9,13.200000000000001
8,co,8,0,5.300000000000001
8,co,8,1,7.2
8,co,8,2,7.800000000000001
8,co,8,3,11.0
8,co,8,4,11.700000000000001
8,co,8,5,12.0
8,co,8,6,12.200000000000001
8,co,8,7,12.3
8,co,8,8,15.4
8,co,8,9,15.8
8,co,9,0,5.300000000000001
8,co,9,1,5.300000000000001
8,co,9,2,5.300000000000001
8,co,9,3,5.300000000000001
8,co,9,4,8.3
8,co,9,5,9.1
8,co,9,6,9.3
8,co,9,7,9.3
8,co,9,8,12.200000000000001
8,co,9,9,12.8
