##culture:co#seed:8#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
8,co,0,0,5.300000000000001
8,co,0,1,5.300000000000001
8,co,0,2,5.300000000000001
8,co,0,3,6.4
8,co,0,4,8.9
8,co,0,5,9.700000000000001
8,co,0,6,12.600000000000001
8,co,0,7,13.9
8,co,0,8,14.8
8,co,0,9,15.200000000000001
8,co,1,0,5.300000000000001
8,co,1,1,5.300000000000001
8,co,1,2,5.300000000000001
8,co,1,3,6.300000000000001
8,co,1,4,7.5
8,co,1,5,8.3
8,co,1,6,9.0
8,co,1,7,9.5
8,co,1,8,9.8
8,co,1,9,10.0
8,co,2,0,5.4
8,co,2,1,5.4
8,co,2,2,5.5
8,co,2,3,5.7
8,co,2,4,6.5
8,co,2,5,10.5
8,co,2,6,13.3
8,co,2,7,16.0
8,co,2,8,17.2
8,co,2,9,16.7
8,co,3,0,8.6
8,co,3,1,9.700000000000001
8,co,3,2,9.9
8,co,3,3,11.100000000000001
8,co,3,4,11.3
8,co,3,5,11.4
8,co,3,6,11.5
8,co,3,7,11.600000000000001
8,co,3,8,11.700000000000001
8,co,3,9,11.8
8,co,4,0,8.8
8,co,4,1,9.9
8,co,4,2,10.200000000000001
8,co,4,3,10.200000000000001
8,co,4,4,10.3
8,co,4,5,10.4
8,co,4,6,11.700000000000001
8,co,4,7,12.0
8,co,4,8,12.200000000000001
8,co,4,9,12.4
8,co,5,0,6.5
8,co,5,1,6.9
8,co,5,2,9.9
8,co,5,3,11.100000000000001
8,co,5,4,11.3
8,co,5,5,11.3
8,co,5,6,11.4
8,co,5,7,11.700000000000001
8,co,5,8,11.700000000000001
8,co,5,9,12.200000000000001
8,co,6,0,5.300000000000001
8,co,6,1,8.4
8,co,6,2,9.5
8,co,6,3,10.5
8,co,6,4,10.8
8,co,6,5,11.100000000000001
8,co,6,6,11.5
8,co,6,7,15.100000000000001
8,co,6,8,15.600000000000001
8,co,6,9,16.0
8,co,7,0,5.300000000000001
8,co,7,1,5.300000000000001
8,co,7,2,5.800000000000001
8,co,7,3,6.0
8,co,7,4,6.0
8,co,7,5,6.4
8,co,7,6,7.7
8,co,7,7,8.6
8,co,7,8,9.1
8,co,7,9,9.5
8,co,8,0,5.800000000000001
8,co,8,1,6.9
8,co,8,2,8.6
8,co,8,3,12.3
8,co,8,4,13.0
8,co,8,5,14.4
8,co,8,6,14.600000000000001
8,co,8,7,14.8
8,co,8,8,14.9
8,co,8,9,15.0
8,co,9,0,7.7
8,co,9,1,8.3
8,co,9,2,8.5
8,co,9,3,8.8
8,co,9,4,9.0
8,co,9,5,9.5
8,co,9,6,10.100000000000001
8,co,9,7,10.9
8,co,9,8,11.8
8,co,9,9,15.9
