##culture:co#seed:8#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
8,co,0,0,5.300000000000001
8,co,0,1,5.300000000000001
8,co,0,2,7.1000000000000005
8,co,0,3,7.6000000000000005
8,co,0,4,10.5
8,co,0,5,11.5
8,co,0,6,11.9
8,co,0,7,13.8
8,co,0,8,14.100000000000001
8,co,0,9,14.3
8,co,1,0,5.300000000000001
8,co,1,1,5.300000000000001
8,co,1,2,5.300000000000001
8,co,1,3,6.5
8,co,1,4,6.800000000000001
8,co,1,5,6.9
8,co,1,6,7.0
8,co,1,7,7.0
8,co,1,8,7.0
8,co,1,9,7.0
8,co,2,0,5.300000000000001
8,co,2,1,5.300000000000001
8,co,2,2,5.6000000000000005
8,co,2,3,5.7
8,co,2,4,6.2
8,co,2,5,8.200000000000001
8,co,2,6,8.9
8,co,2,7,9.3
8,co,2,8,10.100000000000001
8,co,2,9,11.0
8,co,3,0,5.300000000000001
8,co,3,1,5.300000000000001
8,co,3,2,5.300000000000001
8,co,3,3,5.300000000000001
8,co,3,4,5.7
8,co,3,5,7.0
8,co,3,6,7.4
8,co,3,7,7.5
8,co,3,8,7.6000000000000005
8,co,3,9,7.7
8,co,4,0,5.800000000000001
8,co,4,1,6.800000000000001
8,co,4,2,7.0
8,co,4,3,7.1000000000000005
8,co,4,4,7.2
8,co,4,5,7.300000000000001
8,co,4,6,7.4
8,co,4,7,7.5
8,co,4,8,7.800000000000001
8,co,4,9,8.200000000000001
8,co,5,0,9.1
8,co,5,1,9.700000000000001
8,co,5,2,9.9
8,co,5,3,11.0
8,co,5,4,11.200000000000001
8,co,5,5,11.3
8,co,5,6,12.600000000000001
8,co,5,7,12.9
8,co,5,8,18.2
8,co,5,9,18.7
8,co,6,0,5.300000000000001
8,co,6,1,5.300000000000001
8,co,6,2,5.300000000000001
8,co,6,3,5.300000000000001
8,co,6,4,5.300000000000001
8,co,6,5,5.300000000000001
8,co,6,6,6.0
8,co,6,7,6.1000000000000005
8,co,6,8,7.4
8,co,6,9,9.9
8,co,7,0,5.300000000000001
8,co,7,1,8.8
8,co,7,2,9.5
8,co,7,3,9.700000000000001
8,co,7,4,11.100000000000001
8,co,7,5,11.200000000000001
8,co,7,6,11.3
8,co,7,7,11.4
8,co,7,8,14.5
8,co,7,9,13.600000000000001
8,co,8,0,5.300000000000001
8,co,8,1,5.300000000000001
8,co,8,2,5.300000000000001
8,co,8,3,8.1
8,co,8,4,9.3
8,co,8,5,9.4
8,co,8,6,9.4
8,co,8,7,9.5
8,co,8,8,11.8
8,co,8,9,12.200000000000001
8,co,9,0,5.300000000000001
8,co,9,1,5.9
8,co,9,2,6.0
8,co,9,3,7.2
8,co,9,4,8.4
8,co,9,5,12.4
8,co,9,6,16.2
8,co,9,7,16.2
8,co,9,8,19.8
8,co,9,9,21.3
