##culture:co#seed:1#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
1,co,0,0,5.300000000000001
1,co,0,1,5.300000000000001
1,co,0,2,5.300000000000001
1,co,0,3,8.1
1,co,0,4,9.1
1,co,0,5,9.3
1,co,0,6,9.3
1,co,0,7,10.3
1,co,0,8,10.5
1,co,0,9,10.9
1,co,1,0,5.300000000000001
1,co,1,1,5.300000000000001
1,co,1,2,5.300000000000001
1,co,1,3,5.300000000000001
1,co,1,4,7.1000000000000005
1,co,1,5,7.6000000000000005
1,co,1,6,7.9
1,co,1,7,8.0
1,co,1,8,9.200000000000001
1,co,1,9,9.200000000000001
1,co,2,0,7.2
1,co,2,1,7.9
1,co,2,2,8.1
1,co,2,3,8.200000000000001
1,co,2,4,9.1
1,co,2,5,9.3
1,co,2,6,9.4
1,co,2,7,9.5
1,co,2,8,9.600000000000001
1,co,2,9,10.0
1,co,3,0,5.300000000000001
1,co,3,1,5.300000000000001
1,co,3,2,5.300000000000001
1,co,3,3,5.4
1,co,3,4,5.4
1,co,3,5,5.800000000000001
1,co,3,6,6.7
1,co,3,7,7.7
1,co,3,8,8.3
1,co,3,9,9.5
1,co,4,0,6.4
1,co,4,1,8.6
1,co,4,2,9.200000000000001
1,co,4,3,9.5
1,co,4,4,9.700000000000001
1,co,4,5,10.600000000000001
1,co,4,6,10.700000000000001
1,co,4,7,10.8
1,co,4,8,10.9
1,co,4,9,11.0
1,co,5,0,5.300000000000001
1,co,5,1,5.300000000000001
1,co,5,2,6.0
1,co,5,3,7.6000000000000005
1,co,5,4,10.8
1,co,5,5,11.5
1,co,5,6,11.700000000000001
1,co,5,7,11.8
1,co,5,8,11.8
1,co,5,9,11.9
1,co,6,0,5.300000000000001
1,co,6,1,5.6000000000000005
1,co,6,2,5.6000000000000005
1,co,6,3,5.6000000000000005
1,co,6,4,5.6000000000000005
1,co,6,5,5.7
1,co,6,6,5.7
1,co,6,7,5.7
1,co,6,8,5.7
1,co,6,9,5.7
1,co,7,0,7.300000000000001
1,co,7,1,8.0
1,co,7,2,8.200000000000001
1,co,7,3,8.200000000000001
1,co,7,4,8.3
1,co,7,5,9.3
1,co,7,6,9.5
1,co,7,7,9.700000000000001
1,co,7,8,9.8
1,co,7,9,10.100000000000001
1,co,8,0,6.4
1,co,8,1,6.800000000000001
1,co,8,2,7.7
1,co,8,3,7.800000000000001
1,co,8,4,7.9
1,co,8,5,8.0
1,co,8,6,8.1
1,co,8,7,10.0
1,co,8,8,11.600000000000001
1,co,8,9,12.100000000000001
1,co,9,0,7.6000000000000005
1,co,9,1,8.4
1,co,9,2,10.5
1,co,9,3,10.8
1,co,9,4,11.100000000000001
1,co,9,5,11.4
1,co,9,6,11.600000000000001
1,co,9,7,11.700000000000001
1,co,9,8,12.100000000000001
1,co,9,9,12.200000000000001
