##culture:co#seed:4#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
4,co,0,0,6.6000000000000005
4,co,0,1,7.2
4,co,0,2,8.1
4,co,0,3,8.200000000000001
4,co,0,4,8.3
4,co,0,5,8.4
4,co,0,6,8.4
4,co,0,7,8.5
4,co,0,8,8.5
4,co,0,9,8.6
4,co,1,0,5.300000000000001
4,co,1,1,8.4
4,co,1,2,9.700000000000001
4,co,1,3,10.0
4,co,1,4,10.100000000000001
4,co,1,5,10.100000000000001
4,co,1,6,10.600000000000001
4,co,1,7,10.700000000000001
4,co,1,8,11.4
4,co,1,9,12.200000000000001
4,co,2,0,5.300000000000001
4,co,2,1,5.4
4,co,2,2,5.9
4,co,2,3,6.5
4,co,2,4,7.300000000000001
4,co,2,5,9.700000000000001
4,co,2,6,13.600000000000001
4,co,2,7,14.5
4,co,2,8,15.0
4,co,2,9,15.3
4,co,3,0,5.6000000000000005
4,co,3,1,5.7
4,co,3,2,5.800000000000001
4,co,3,3,8.4
4,co,3,4,9.5
4,co,3,5,9.9
4,co,3,6,12.200000000000001
4,co,3,7,12.5
4,co,3,8,12.8
4,co,3,9,13.0
4,co,4,0,6.4
4,co,4,1,6.9
4,co,4,2,7.4
4,co,4,3,7.7
4,co,4,4,7.800000000000001
4,co,4,5,7.9
4,co,4,6,7.9
4,co,4,7,8.0
4,co,4,8,9.600000000000001
4,co,4,9,10.100000000000001
4,co,5,0,5.300000000000001
4,co,5,1,5.4
4,co,5,2,7.800000000000001
4,co,5,3,8.9
4,co,5,4,9.1
4,co,5,5,9.3
4,co,5,6,9.3
4,co,5,7,9.4
4,co,5,8,9.4
4,co,5,9,9.600000000000001
4,co,6,0,5.300000000000001
4,co,6,1,5.300000000000001
4,co,6,2,7.4
4,co,6,3,10.5
4,co,6,4,12.100000000000001
4,co,6,5,12.700000000000001
4,co,6,6,14.8
4,co,6,7,15.100000000000001
4,co,6,8,15.3
4,co,6,9,15.5
4,co,7,0,5.300000000000001
4,co,7,1,5.300000000000001
4,co,7,2,5.300000000000001
4,co,7,3,5.300000000000001
4,co,7,4,7.9
4,co,7,5,9.3
4,co,7,6,10.600000000000001
4,co,7,7,10.700000000000001
4,co,7,8,12.0
4,co,7,9,12.3
4,co,8,0,5.300000000000001
4,co,8,1,6.800000000000001
4,co,8,2,9.0
4,co,8,3,11.100000000000001
4,co,8,4,11.600000000000001
4,co,8,5,11.9
4,co,8,6,12.0
4,co,8,7,12.200000000000001
4,co,8,8,12.700000000000001
4,co,8,9,12.8
4,co,9,0,5.300000000000001
4,co,9,1,5.7
4,co,9,2,5.800000000000001
4,co,9,3,5.9
4,co,9,4,6.0
4,co,9,5,6.0
4,co,9,6,6.1000000000000005
4,co,9,7,6.1000000000000005
4,co,9,8,6.1000000000000005
4,co,9,9,6.1000000000000005
