##culture:co#seed:7#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
7,co,0,0,5.300000000000001
7,co,0,1,5.300000000000001
7,co,0,2,5.300000000000001
7,co,0,3,6.800000000000001
7,co,0,4,7.800000000000001
7,co,0,5,8.200000000000001
7,co,0,6,8.3
7,co,0,7,8.3
7,co,0,8,9.8
7,co,0,9,10.4
7,co,1,0,5.300000000000001
7,co,1,1,5.300000000000001
7,co,1,2,5.300000000000001
7,co,1,3,5.5
7,co,1,4,6.7
7,co,1,5,7.9
7,co,1,6,8.200000000000001
7,co,1,7,8.200000000000001
7,co,1,8,8.3
7,co,1,9,8.3
7,co,2,0,6.300000000000001
7,co,2,1,7.1000000000000005
7,co,2,2,7.300000000000001
7,co,2,3,7.4
7,co,2,4,7.4
7,co,2,5,7.4
7,co,2,6,7.4
7,co,2,7,7.4
7,co,2,8,7.4
7,co,2,9,7.4
7,co,3,0,5.300000000000001
7,co,3,1,5.300000000000001
7,co,3,2,5.300000000000001
7,co,3,3,5.300000000000001
7,co,3,4,5.300000000000001
7,co,3,5,5.300000000000001
7,co,3,6,5.300000000000001
7,co,3,7,5.300000000000001
7,co,3,8,6.0
7,co,3,9,6.4
7,co,4,0,5.300000000000001
7,co,4,1,5.300000000000001
7,co,4,2,5.4
7,co,4,3,5.4
7,co,4,4,5.4
7,co,4,5,7.5
7,co,4,6,8.9
7,co,4,7,9.4
7,co,4,8,9.5
7,co,4,9,10.0
