##culture:co#seed:4#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
4,co,0,0,5.300000000000001
4,co,0,1,5.300000000000001
4,co,0,2,7.9
4,co,0,3,11.9
4,co,0,4,13.100000000000001
4,co,0,5,13.600000000000001
4,co,0,6,13.600000000000001
4,co,0,7,14.3
4,co,0,8,14.8
4,co,0,9,15.0
4,co,1,0,5.300000000000001
4,co,1,1,5.300000000000001
4,co,1,2,5.300000000000001
4,co,1,3,5.300000000000001
4,co,1,4,7.300000000000001
4,co,1,5,8.6
4,co,1,6,9.1
4,co,1,7,9.200000000000001
4,co,1,8,9.200000000000001
4,co,1,9,9.200000000000001
4,co,2,0,5.300000000000001
4,co,2,1,5.300000000000001
4,co,2,2,6.300000000000001
4,co,2,3,6.7
4,co,2,4,7.0
4,co,2,5,7.2
4,co,2,6,7.300000000000001
4,co,2,7,7.300000000000001
4,co,2,8,7.4
4,co,2,9,7.4
4,co,3,0,5.300000000000001
4,co,3,1,6.0
4,co,3,2,6.4
4,co,3,3,6.7
4,co,3,4,6.9
4,co,3,5,6.9
4,co,3,6,7.4
4,co,3,7,8.0
4,co,3,8,8.9
4,co,3,9,9.8
4,co,4,0,5.300000000000001
4,co,4,1,5.300000000000001
4,co,4,2,5.300000000000001
4,co,4,3,5.300000000000001
4,co,4,4,8.0
4,co,4,5,9.700000000000001
4,co,4,6,10.100000000000001
4,co,4,7,10.200000000000001
4,co,4,8,10.200000000000001
4,co,4,9,10.200000000000001
