##culture:co#seed:1#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
1,co,0,0,5.300000000000001
1,co,0,1,6.4
1,co,0,2,9.200000000000001
1,co,0,3,10.600000000000001
1,co,0,4,11.100000000000001
1,co,0,5,11.4
1,co,0,6,11.5
1,co,0,7,11.600000000000001
1,co,0,8,11.700000000000001
1,co,0,9,13.8
1,co,1,0,6.0
1,co,1,1,6.300000000000001
1,co,1,2,6.800000000000001
1,co,1,3,7.2
1,co,1,4,7.6000000000000005
1,co,1,5,9.1
1,co,1,6,9.600000000000001
1,co,1,7,10.4
1,co,1,8,10.600000000000001
1,co,1,9,10.700000000000001
1,co,2,0,5.300000000000001
1,co,2,1,5.300000000000001
1,co,2,2,5.300000000000001
1,co,2,3,5.6000000000000005
1,co,2,4,5.6000000000000005
1,co,2,5,7.9
1,co,2,6,11.5
1,co,2,7,12.5
1,co,2,8,12.9
1,co,2,9,13.3
1,co,3,0,5.300000000000001
1,co,3,1,5.300000000000001
1,co,3,2,6.2
1,co,3,3,6.7
1,co,3,4,7.0
1,co,3,5,7.300000000000001
1,co,3,6,7.5
1,co,3,7,8.4
1,co,3,8,8.9
1,co,3,9,9.3
1,co,4,0,5.300000000000001
1,co,4,1,5.300000000000001
1,co,4,2,5.300000000000001
1,co,4,3,5.300000000000001
1,co,4,4,5.300000000000001
1,co,4,5,5.300000000000001
1,co,4,6,5.300000000000001
1,co,4,7,5.300000000000001
1,co,4,8,5.300000000000001
1,co,4,9,5.300000000000001
