##culture:co#seed:2#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 500, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
2,co,0,0,5.6000000000000005
2,co,0,1,7.4
2,co,0,2,8.5
2,co,0,3,8.9
2,co,0,4,9.0
2,co,0,5,9.0
2,co,0,6,9.0
2,co,0,7,9.0
2,co,0,8,9.0
2,co,0,9,9.0
2,co,1,0,5.6000000000000005
2,co,1,1,5.6000000000000005
2,co,1,2,5.6000000000000005
2,co,1,3,5.6000000000000005
2,co,1,4,5.6000000000000005
2,co,1,5,5.6000000000000005
2,co,1,6,5.6000000000000005
2,co,1,7,5.6000000000000005
2,co,1,8,5.6000000000000005
2,co,1,9,5.6000000000000005
2,co,2,0,5.6000000000000005
2,co,2,1,5.6000000000000005
2,co,2,2,5.6000000000000005
2,co,2,3,5.6000000000000005
2,co,2,4,5.6000000000000005
2,co,2,5,6.6000000000000005
2,co,2,6,7.300000000000001
2,co,2,7,7.6000000000000005
2,co,2,8,7.7
2,co,2,9,7.800000000000001
2,co,3,0,7.0
2,co,3,1,7.800000000000001
2,co,3,2,8.200000000000001
2,co,3,3,10.4
2,co,3,4,13.200000000000001
2,co,3,5,14.100000000000001
2,co,3,6,14.5
2,co,3,7,16.7
2,co,3,8,17.1
2,co,3,9,17.1
2,co,4,0,5.6000000000000005
2,co,4,1,5.6000000000000005
2,co,4,2,5.6000000000000005
2,co,4,3,8.5
2,co,4,4,10.200000000000001
2,co,4,5,10.5
2,co,4,6,10.600000000000001
2,co,4,7,10.600000000000001
2,co,4,8,10.600000000000001
2,co,4,9,10.600000000000001
